ID_NLS;RIC;INDIR_ORIG;DENOM_IMPRES;INSEGNA;INIZIO_ATT;geo_y;geo_x;location
7189;Storica Attività;VIA DOGANA,2;Laluna s.n.c. di Bruno Roberto Benedetto & C.;Laluna - Abbigliamento;1951;9.18959019936325;45.463273600705236;(45.463273600705236, 9.18959019936325)
7042;Storica Attività;VIA TORTONA,19;Osteria Il Giardinetto S.n.c. di Roffi Antonino & C.;Osteria Il Giardinetto;1949;9.167065134835982;45.453013730703496;(45.453013730703496, 9.167065134835982)
6324;Storica Attività;VIA VINCENZO MONTI,9;Cavalleri Gioielli S.a.s. di Giampiero Podda & C.;Cavalleri Gioielli;1834;9.174287100585369;45.46686400416108;(45.46686400416108, 9.174287100585369)
6362;Storica Attività;GALLERIA SAN BABILA,4/B;gi.rosa srl;Gin Rosa;1931;9.198338552879411;45.46626125521779;(45.46626125521779, 9.198338552879411)
6217;Locale storico;VIA VITTORINI,4;Bagutto S.r.l.;Antica Trattoria Bagutto;1284;9.260875505699289;45.44429986237544;(45.44429986237544, 9.260875505699289)
7228;Storica Attività;CORSO VENEZIA,0031;AL GIRARROSTO DI MILANO S.R.L.;RISTORANTE AL GIRARROSTO DA CESARINA;1949;9.199971030619109;45.46956942373612;(45.46956942373612, 9.199971030619109)
6439;Storica Attività;VIA FIORI CHIARI,21/5;Trattoria Torre Di Pisa S.r.l.;Trattoria Torre Di Pisa;1951;9.185517647119243;45.47192617133698;(45.47192617133698, 9.185517647119243)
6406;Storica Attività;VIA CANONICA,67;ditta individuale;Panificio Moderno;1946;9.172026253034895;45.47988589871722;(45.47988589871722, 9.172026253034895)
6236;Storica Attività;VIALE BLIGNY,66;Prato Tranquillo snc;Ferramenta Casalinghi Prato Tranquillo;1927;9.196264138678417;45.450813284809314;(45.450813284809314, 9.196264138678417)
6391;Storica Attività;CORSO DI PORTA ROMANA,40;Orologeria Giovanzana S.n.c.;Orologeria Giovanzana;1948;9.191389722627674;45.45865515436854;(45.45865515436854, 9.191389722627674)
6422;Storica Attività;VIA PLINIO,22;ditta individuale;Frascolla Riparazioni Elettrodomestici;1913;9.214227510597572;45.47820337550935;(45.47820337550935, 9.214227510597572)
6206;Negozio storico;VIA F. SFORZA,1;Martino Danilo;Pintica Arte Orafa F.lli Martino;1923;9.19879454856169;45.46318864364696;(45.46318864364696, 9.19879454856169)
7365;Storica Attività;VIA ROMBON,0033;BRUNETTI FRATELLI DI BRUNETTI PAOLO E C. - S.A.S.;GIOIELLERIA BRUNETTI;1925;9.241435899853021;45.486376343437456;(45.486376343437456, 9.241435899853021)
